# begin end del_t c_t c_s c_E signif seg_begin seg_eng cbc burst stoch
9.319512278671875000e+08 9.319518026870117188e+08 5.748198242187500000e+02 9.319513547181866169e+08 2.000000000000000000e+00 3.724169347741664637e+01 4.299156518468896593e+02 9.319494570000000000e+08 9.319529970000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.319496566367187500e+08 9.319503680590820312e+08 7.114223632812500000e+02 9.319499458082275391e+08 1.875000000000000000e+00 2.621980116390752613e+01 9.268380466723039035e+01 9.319494570000000000e+08 9.319529970000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.319523259052734375e+08 9.319526680000000000e+08 3.420947265625000000e+02 9.319524831928710938e+08 4.750000000000000000e+00 2.647293602252143430e+01 4.895789754424631468e+01 9.319494570000000000e+08 9.319529970000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310714632460937500e+08 9.310730010698242188e+08 1.537823730468750000e+03 9.310723231841490269e+08 2.323529411764706065e+00 1.136916835656168558e+02 inf 9.310714070000000000e+08 9.310732370000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310723089609375000e+08 9.310723089648437500e+08 3.906250000000000000e-03 9.310723089631347656e+08 1.750000000000000000e+00 3.811950923043997136e+03 inf 9.310714070000000000e+08 9.310732370000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310723089609375000e+08 9.310723089619140625e+08 9.765625000000000000e-04 9.310723089612630606e+08 3.333333333333333481e+00 5.369320753837360826e+03 inf 9.310714070000000000e+08 9.310732370000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310723089619140625e+08 9.310723089624023438e+08 4.882812500000000000e-04 9.310723089621582031e+08 1.500000000000000000e+00 7.636710887270880448e+03 inf 9.310714070000000000e+08 9.310732370000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310723089638671875e+08 9.310723089648437500e+08 9.765625000000000000e-04 9.310723089643554688e+08 1.500000000000000000e+00 6.643525671942990812e+03 inf 9.310714070000000000e+08 9.310732370000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310723089643554688e+08 9.310723089643554688e+08 0.000000000000000000e+00 9.310723089643554688e+08 1.000000000000000000e+00 8.535481852107979648e+03 inf 9.310714070000000000e+08 9.310732370000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310733185092773438e+08 9.310733218930664062e+08 3.383789062500000000e+00 9.310733196265827417e+08 1.931034482758620774e+00 2.913954389924698063e+01 3.647294616321898388e+02 9.310732470000000000e+08 9.310735400000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310734800620117188e+08 9.310735122968750000e+08 3.223486328125000000e+01 9.310734842983887196e+08 2.100000000000000089e+00 2.707030724053075232e+01 1.188683250216889462e+02 9.310732470000000000e+08 9.310735400000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310739168515625000e+08 9.310739736088867188e+08 5.675732421875000000e+01 9.310739714209172726e+08 2.038461538461538325e+00 5.447843465241362537e+01 6.494367557330912177e+02 9.310735500000000000e+08 9.310741440000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310739735937500000e+08 9.310739736093750000e+08 1.562500000000000000e-02 9.310739736015625000e+08 5.666666666666666963e+00 2.004584162027133232e+02 2.977121542000695058e+02 9.310735500000000000e+08 9.310741440000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310738181562500000e+08 9.310738274511718750e+08 9.294921875000000000e+00 9.310738243528646231e+08 2.666666666666666519e+00 2.682034025362116836e+01 3.825021751938201930e+01 9.310735500000000000e+08 9.310741440000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310736346230468750e+08 9.310736831225585938e+08 4.849951171875000000e+01 9.310736588728027344e+08 1.000000000000000000e+00 2.594075442127870090e+01 2.594076126285576223e+01 9.310735500000000000e+08 9.310741440000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310741691650390625e+08 9.310741764604492188e+08 7.295410156250000000e+00 9.310741694457702637e+08 1.625000000000000000e+00 2.782520984951501930e+01 2.691744017909888953e+02 9.310741550000000000e+08 9.310742150000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310741694184570312e+08 9.310741694394531250e+08 2.099609375000000000e-02 9.310741693940429688e+08 1.666666666666666741e+00 3.378042715518078154e+01 5.473893512794222005e+01 9.310741550000000000e+08 9.310742150000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310742830957031250e+08 9.310742830966796875e+08 9.765625000000000000e-04 9.310742830957031250e+08 3.000000000000000000e+00 3.238947243602886772e+01 4.360340367253157723e+01 9.310742320000000000e+08 9.310743110000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310745088398437500e+08 9.310745217773437500e+08 1.293750000000000000e+01 9.310745117656250000e+08 3.000000000000000000e+00 2.971534572802261209e+01 1.190113855620898562e+02 9.310743980000000000e+08 9.310745470000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310744924765625000e+08 9.310744924843750000e+08 7.812500000000000000e-03 9.310744924808756113e+08 3.000000000000000000e+00 3.218851152386869785e+01 8.809753468563644674e+01 9.310743980000000000e+08 9.310745470000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310744486503906250e+08 9.310744486513671875e+08 9.765625000000000000e-04 9.310744486508789062e+08 2.000000000000000000e+00 2.654616394241008237e+01 2.654617078398714369e+01 9.310743980000000000e+08 9.310745470000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310744620000000000e+08 9.310744620000000000e+08 0.000000000000000000e+00 9.310744620000000000e+08 1.800000000000000000e+01 3.610446376924054590e+01 2.009723800855670461e+01 9.310743980000000000e+08 9.310745470000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310747349755859375e+08 9.310747352177734375e+08 2.421875000000000000e-01 9.310747350823364258e+08 1.125000000000000000e+00 2.908965567980300193e+01 1.140830201178918344e+02 9.310746880000000000e+08 9.310747950000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310747351201171875e+08 9.310747351484375000e+08 2.832031250000000000e-02 9.310747350935872793e+08 1.166666666666666741e+00 2.693108232147322312e+01 7.663337041137320682e+01 9.310746880000000000e+08 9.310747950000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310747351406250000e+08 9.310747351489257812e+08 8.300781250000000000e-03 9.310747351406250000e+08 6.000000000000000000e+00 3.035899228502827896e+01 2.967671683606047139e+01 9.310746880000000000e+08 9.310747950000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310749805839843750e+08 9.310749807246093750e+08 1.406250000000000000e-01 9.310749806676757336e+08 1.800000000000000044e+00 2.831672597732968555e+01 6.466577628466900762e+01 9.310748600000000000e+08 9.310750600000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310755303750000000e+08 9.310755815000000000e+08 5.112500000000000000e+01 9.310755416642944813e+08 2.200000000000000178e+00 3.171023803577352851e+01 5.509192189731091958e+02 9.310752180000000000e+08 9.310756460000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310752423613281250e+08 9.310753412695312500e+08 9.890820312500000000e+01 9.310752881471163034e+08 1.852941176470588314e+00 4.032466432437939829e+01 6.534070032152881140e+02 9.310752180000000000e+08 9.310756460000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310752835156250000e+08 9.310752835312500000e+08 1.562500000000000000e-02 9.310752835271345377e+08 4.000000000000000000e+00 1.210745755262922358e+02 4.098331675961406972e+02 9.310752180000000000e+08 9.310756460000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310752835283203125e+08 9.310752835292968750e+08 9.765625000000000000e-04 9.310752835288085938e+08 1.333333333333333259e+00 2.834828523229152779e+02 4.220760209230900841e+02 9.310752180000000000e+08 9.310756460000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310752835156250000e+08 9.310752835292968750e+08 1.367187500000000000e-02 9.310752835244140625e+08 3.000000000000000000e+00 1.899847258651707023e+02 2.820283590607635915e+02 9.310752180000000000e+08 9.310756460000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310754538125000000e+08 9.310754538281250000e+08 1.562500000000000000e-02 9.310754538203125000e+08 6.000000000000000000e+00 2.897307576671833118e+01 2.897308260829539250e+01 9.310752180000000000e+08 9.310756460000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310752835273437500e+08 9.310752835273437500e+08 0.000000000000000000e+00 9.310752835273437500e+08 4.000000000000000000e+00 5.036736294236150115e+02 2.551755528220753604e+02 9.310752180000000000e+08 9.310756460000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310757366250000000e+08 9.310757366269531250e+08 1.953125000000000000e-03 9.310757366258138418e+08 1.333333333333333259e+00 2.946460509485122614e+01 4.217067776676508117e+01 9.310756550000000000e+08 9.310757680000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310756747812500000e+08 9.310756747822265625e+08 9.765625000000000000e-04 9.310756747817382812e+08 2.000000000000000000e+00 2.834717272085731210e+01 2.834717956243437342e+01 9.310756550000000000e+08 9.310757680000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310758177285156250e+08 9.310758375468750000e+08 1.981835937500000000e+01 9.310758340045166016e+08 2.534090909090909172e+00 3.574929210849516892e+01 inf 9.310757770000000000e+08 9.310759730000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310758350000000000e+08 9.310758353046875000e+08 3.046875000000000000e-01 9.310758350804036856e+08 2.833333333333333481e+00 9.722237324351407040e+01 4.137152019943792993e+02 9.310757770000000000e+08 9.310759730000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310758350371093750e+08 9.310758350507812500e+08 1.367187500000000000e-02 9.310758350429687500e+08 1.800000000000000044e+00 1.414439654573641860e+02 3.450880728099676276e+02 9.310757770000000000e+08 9.310759730000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310758350312500000e+08 9.310758350468750000e+08 1.562500000000000000e-02 9.310758350390625000e+08 5.000000000000000000e+00 1.941170643909642592e+02 2.882161451453196719e+02 9.310757770000000000e+08 9.310759730000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310761570000000000e+08 9.310761590000000000e+08 2.000000000000000000e+00 9.310761625000000000e+08 1.100000000000000000e+01 3.111597520632346914e+01 2.724702005344716582e+01 9.310761550000000000e+08 9.310761920000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310761595000000000e+08 9.310761660000000000e+08 6.500000000000000000e+00 9.310761610000000000e+08 1.100000000000000000e+01 2.906328111339540143e+01 7.330426482635597552e+01 9.310761550000000000e+08 9.310761920000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310825074243164062e+08 9.310829719804687500e+08 4.645561523437500000e+02 9.310828476419919729e+08 2.055408970976253080e+00 3.310963808547577969e+01 inf 9.310811160000000000e+08 9.310829990000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310812210756835938e+08 9.310818052031250000e+08 5.841274414062500000e+02 9.310815185371462107e+08 1.905660377358490587e+00 4.264659591098072866e+01 inf 9.310811160000000000e+08 9.310829990000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310818054296875000e+08 9.310824588281250000e+08 6.533984375000000000e+02 9.310820866724767685e+08 2.595959595959596022e+00 8.389429638265484357e+01 inf 9.310811160000000000e+08 9.310829990000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310816600737304688e+08 9.310822496259765625e+08 5.895522460937500000e+02 9.310821175003551245e+08 2.181818181818181657e+00 7.507597793755477369e+02 inf 9.310811160000000000e+08 9.310829990000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310822496220703125e+08 9.310822496245117188e+08 2.441406250000000000e-03 9.310822496233398914e+08 1.399999999999999911e+00 1.163537219277894337e+03 inf 9.310811160000000000e+08 9.310829990000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311085844843750000e+08 9.311092403437500000e+08 6.558593750000000000e+02 9.311091413669636250e+08 2.395595432300162919e+00 8.212138928184656095e+01 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311090689531250000e+08 9.311092080703125000e+08 1.391171875000000000e+02 9.311091413208705187e+08 2.857142857142857206e+00 2.794436345549406269e+03 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311090689375000000e+08 9.311091782441406250e+08 1.093066406250000000e+02 9.311091053757052422e+08 3.444444444444444642e+00 4.170746390606290333e+03 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311090689531250000e+08 9.311091782456054688e+08 1.092924804687500000e+02 9.311090962817382812e+08 2.500000000000000000e+00 8.854335844495059064e+03 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311090689375000000e+08 9.311090689687500000e+08 3.125000000000000000e-02 9.311090689584960938e+08 4.500000000000000000e+00 5.720966073764092471e+03 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311090689638671875e+08 9.311091782412109375e+08 1.092773437500000000e+02 9.311091418149414062e+08 1.333333333333333259e+00 7.012146752269755780e+03 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782412109375e+08 9.311091782441406250e+08 2.929687500000000000e-03 9.311091782430013418e+08 1.666666666666666741e+00 1.656627170055388706e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782402343750e+08 9.311091782451171875e+08 4.882812500000000000e-03 9.311091782426757812e+08 1.000000000000000000e+00 1.905879560534205302e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311071715546875000e+08 9.311079739375000000e+08 8.023828125000000000e+02 9.311072425703125000e+08 3.000000000000000000e+00 2.807041105352233146e+01 6.255322353529539470e+01 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782421875000e+08 9.311091782421875000e+08 0.000000000000000000e+00 9.311091782421875000e+08 2.000000000000000000e+00 3.177263239954054734e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782402343750e+08 9.311091782402343750e+08 0.000000000000000000e+00 9.311091782402343750e+08 3.000000000000000000e+00 2.401007527603337803e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782382812500e+08 9.311091782382812500e+08 0.000000000000000000e+00 9.311091782382812500e+08 4.000000000000000000e+00 2.810763561068888521e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782431640625e+08 9.311091782431640625e+08 0.000000000000000000e+00 9.311091782431640625e+08 2.000000000000000000e+00 3.547454037388825236e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311090689609375000e+08 9.311090689609375000e+08 0.000000000000000000e+00 9.311090689609375000e+08 5.000000000000000000e+00 3.392575104554307472e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782431640625e+08 9.311091782431640625e+08 0.000000000000000000e+00 9.311091782431640625e+08 1.000000000000000000e+00 5.080638988008318120e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782421875000e+08 9.311091782421875000e+08 0.000000000000000000e+00 9.311091782421875000e+08 1.000000000000000000e+00 1.345836988997722437e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782407226562e+08 9.311091782407226562e+08 0.000000000000000000e+00 9.311091782407226562e+08 1.000000000000000000e+00 2.702586434962920248e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782451171875e+08 9.311091782451171875e+08 0.000000000000000000e+00 9.311091782451171875e+08 2.000000000000000000e+00 1.508395532011850082e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782421875000e+08 9.311091782421875000e+08 0.000000000000000000e+00 9.311091782421875000e+08 3.000000000000000000e+00 5.508876531250025437e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782426757812e+08 9.311091782426757812e+08 0.000000000000000000e+00 9.311091782426757812e+08 1.000000000000000000e+00 4.842028238301211240e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782421875000e+08 9.311091782421875000e+08 0.000000000000000000e+00 9.311091782421875000e+08 4.000000000000000000e+00 1.008509657610361864e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782402343750e+08 9.311091782402343750e+08 0.000000000000000000e+00 9.311091782402343750e+08 2.000000000000000000e+00 2.543711811363655943e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311091782446289062e+08 9.311091782446289062e+08 0.000000000000000000e+00 9.311091782446289062e+08 1.000000000000000000e+00 1.237264045713228370e+04 inf 9.311068350000000000e+08 9.311092700000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311160426791992188e+08 9.311166863281250000e+08 6.436489257812500000e+02 9.311162743446805477e+08 2.408805031446541012e+00 3.482170659575945848e+01 inf 9.311138460000000000e+08 9.311167580000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311142800468750000e+08 9.311150682500000000e+08 7.882031250000000000e+02 9.311147109825289249e+08 2.972602739726027288e+00 8.174989196534099278e+01 inf 9.311138460000000000e+08 9.311167580000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311153482885742188e+08 9.311159766181640625e+08 6.283295898437500000e+02 9.311156847395148277e+08 1.973684210526315708e+00 2.924404723001525497e+01 4.674261784906798880e+02 9.311138460000000000e+08 9.311167580000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311628812089843750e+08 9.311634058925781250e+08 5.246835937500000000e+02 9.311631184266935587e+08 2.089965397923875479e+00 7.522870287651942078e+01 inf 9.311597420000000000e+08 9.311644480000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311636653437500000e+08 9.311638886606445312e+08 2.233168945312500000e+02 9.311637472668980360e+08 2.250000000000000000e+00 1.240112683552516017e+02 inf 9.311597420000000000e+08 9.311644480000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311604950000000000e+08 9.311609545195312500e+08 4.595195312500000000e+02 9.311606103773918152e+08 2.289855072463768071e+00 1.403779411841680940e+02 inf 9.311597420000000000e+08 9.311644480000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311612403593750000e+08 9.311617676835937500e+08 5.273242187500000000e+02 9.311613807585979700e+08 2.130434782608695787e+00 3.321891272989082466e+01 2.616324582047068361e+02 9.311597420000000000e+08 9.311644480000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311643617895507812e+08 9.311644225839843750e+08 6.079443359375000000e+01 9.311643921377495527e+08 2.333333333333333481e+00 2.792219347748538993e+01 1.111583464964968329e+02 9.311597420000000000e+08 9.311644480000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311618797260742188e+08 9.311626740659179688e+08 7.943398437500000000e+02 9.311622849774848223e+08 2.222222222222222321e+00 2.989748848148525440e+01 1.198098011084303494e+02 9.311597420000000000e+08 9.311644480000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311636653574218750e+08 9.311636653608398438e+08 3.417968750000000000e-03 9.311636653592529297e+08 1.750000000000000000e+00 1.735745004818931420e+03 inf 9.311597420000000000e+08 9.311644480000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311597801718750000e+08 9.311601354384765625e+08 3.552666015625000000e+02 9.311600253569335938e+08 3.799999999999999822e+00 2.753327990602210917e+01 6.274864838876272444e+01 9.311597420000000000e+08 9.311644480000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311707035507812500e+08 9.311709411992187500e+08 2.376484375000000000e+02 9.311708888371027708e+08 2.196535244922341867e+00 3.731824249419651807e+01 inf 9.311690810000000000e+08 9.311709690000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311695308710937500e+08 9.311699652207031250e+08 4.343496093750000000e+02 9.311697006077227592e+08 2.284360189573459543e+00 7.059856427985931759e+01 inf 9.311690810000000000e+08 9.311709690000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311691430263671875e+08 9.311694935249023438e+08 3.504985351562500000e+02 9.311693363104057312e+08 2.179687500000000000e+00 5.933310329367025560e+01 inf 9.311690810000000000e+08 9.311709690000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311702954516601562e+08 9.311705668496093750e+08 2.713979492187500000e+02 9.311705162409490347e+08 2.100000000000000089e+00 4.275841313140042388e+01 inf 9.311690810000000000e+08 9.311709690000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.311696991718750000e+08 9.311696998247070312e+08 6.528320312500000000e-01 9.311696998233642578e+08 2.250000000000000000e+00 1.212730711178016918e+03 inf 9.311690810000000000e+08 9.311709690000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
